declon,declat,
-85.337305555556,-8.6835555555556,
-83.51268,8.69745,
-60.2211,-20.3004,
-75.183333333333,-3.0333333333333,
-78165,-4.44167,
-55.65,-24.45,
-57.751842,-16.734548,
-57.8641,-25.1,
-61.56667,-16.05,
-80583,-1333,
-79.6126,-2.7558,
-57.99443,-15.47503,
-58.25,-24.28333,
-59,-23.36667,
-59,-23.36667,
-65.166666666667,-2.8333333333333,
-66.3833313,-9.5863895,
-59.617777777778,-23.450555555556,
-58.8,-23.466944444444,
-57.8666699999999,-22.41667,
-58.16666,-6.8,
-47.75,-24.25,
-76.283333333333,-7.85,
-73.2666702,-38.333333,
-47.75,-24.25,
-47.75,-24.25,
-63.6666667,-17.45,
-63.6666679,-17.4500008,
-75.083333333333,-9.95,
-57.7000008,-16.75,
-76.9586258,-26.345458,
-63.6666679,-17.4500008,
-39.2999992,-10.9833336,
-47.6666679,-24.2833328,
-71217,-10133,
-41.184722222222,-20.600833333333,
-40.483611111111,-20.666666666667,
-40.600277777778,-19.935555555556,
-57.57512,-22.68592,
-59.24443,-23.88226,
-65.85,-10.17,
-71.78,-10.98,
-67.77,-10.4,
-67.77,-10.4,
-63.48,-6.82,
-67.43,-9.02,
-48.799922,-22.590278,
-47.2097219999999,-23.090278,
-63.6666679,-17.4500008,
-75.35,-9.5,
-57833333,-5.54166679,
-77.2133408,-8.0972147,
-55.4166679,-5.7833333,
-54.3166657,-3.35999985,
-57.700008,-16.75,
-71.7833328,-4.4499998,
-47.6666679,-24.2833328,
-77.2133408,-8.0972147,
-75.333333333333,-7.5833333333333,
-75.083333333333,-9.95,
-40.600277777778,-19.935555555556,
-40.600277777778,-19.935555555556,
-41.701944444444,-19.800833333333,
-40.483611111111,-20.666666666667,
-75.57297,-9.56633,
-58.98501,-23.40034,
-57.260333,-27.497016,
-58.3,-6.43332999999999,
-67.68528,-10.42192,
-58.3,-6.43333,
-47.06,-22.8999999,
-48.0997219999999,-21.7199999999999,
-48.0997219999999,-21.7199999999999,
-47.06,-22.8999999999999,
-49.13,-22.41,
-75.45,-71.833333333,
-68.1666679,-6.8000002,
-55.1666679,-5.8333335,
-57.700008,-16.75,
-57.700008,-16.75,
-51.68362,-14.07861,
-41.519722,-10.976111,
-43.2333333,-22.9,
-51.68362,-14.07861,
-41.2851,-11.28517,
-67.583298,-8.5667,
-43.2333333,-22.9,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-67.7,4,
-69.1508333333333,7.57944444444444,
-69325,7.43583333333333,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,-30153,
-55.17092,-30.77548,
N/A,-30.2461,
-54.87993,-30.24033,
-55.23322,-30.141553,
-52.013611,-31.301944,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-54.983333,-30.239722,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,-30.239722,
-31.38625,-19.8235,
-47.06,N/A,
N/A,N/A,
N/A,N/A,
-48.099722222222,-21.72,
-48.099722222222,-21.72,
-47.06,N/A,
N/A,N/A,
-49.13,-22.41,
-47.209722222222,-23.090277777778,
-40.2,-20.1833333333333,
-47.7635,-22264,
-47.791302,-22.276699,
-47.891201,-22.3885,
-47.699101,-22.2862,
-47.844398,-22.2987,
-47.765701,-22.413799,
-47.783299,-24.049999,
-49.8167,-21.483299,
-49.783299,-21.5,
-47.333301,-21.016701,
-47.400002,-21.049999,
-48.133301,-22.049999,
-48.016701,-22.1,
-48.200001,-22.116699,
-47.900002,-21.6667,
-47.866699,-21.700001,
-49.366699,-21.549999,
-47.466701,-21.1833,
-47.450001,-21.1833,
-46.783299,-30.516701,
-48.883301,-24.133301,
-49.116699,-24.233299,
-49.200001,-24.233299,
-47.666699,-23.4,
-46.883301,-23.200001,
-48.233299,-22.25,
-46.900002,-24.233299,
-46.533299,-23.4667,
-46.805599,-24.216101,
-47.780602,-20.5061,
-49.4897,-23.7078,
-46.680801,-22.6819,
-50.049999,-21.201099,
-46.6339,-23.550301,
-45.070801,-23.433901,
-48.462766,-23.344612,
-48.462766,-23.344612,
-45.5105885243,-23.3568412574,
-45.5451688973,-23.1055386564,
-45.33298,-23.336155,
-46.9454,-23.714899,
-47.799999,-21.5833,
-47.9622,-25.1084,
-47.9622,-25.1084,
-47.000801,-24.313101,
-47.242802,-23.957399,
N/A,N/A,
-40.600278,-19.935556,
-40.600278,-19.935556,
N/A,N/A,
-40.600278,-19.935556,
-41.184722,-20.603611,
N/A,N/A,
-40.426111,-20.602778,
-41.713056,-19.800833,
-40.426111,-20.602778,
-40.2,-20.1833333333333,
N/A,N/A,
-73.2666666666667,-7.38333333333333,
-72,4,
-71.78,10.98,
-67.77,10.4,
-67.77,10.4,
-78165,-4.44167,
-57.99443,-15.47503,
-62764539,-10221,
-62.737967,-10.246353,
-62.720917,-10.249189,
-62.720917,-10.249189,
-62.792903,-10.199417,
-56.4,-16.316667,
-56.4,-16.316667,
-56.4,-16.316667,
-56.4,-16.316667,
